"","state","mean_rank","median_rank"
"1","West Virginia",1.6,2
"2","Vermont",1.8,2
"3","California",4.6,5
"4","New Jersey",5,6
"5","Kentucky",5.2,5
"6","New Hampshire",6.2,7
"7","Rhode Island",10.8,10
"8","Kansas",11.6,12
"9","Michigan",11.8,11
"10","Ohio",12,11
"11","Virginia",12.2,12
"12","Alabama",13.2,8
"13","Pennsylvania",13.2,13
"14","Washington",13.8,13
"15","Connecticut",14.8,17
"16","Hawaii",15,15
"17","New York",15.8,15
"18","Nevada",16.2,18
"19","Texas",18.2,19
"20","New Mexico",18.6,22
"21","Maine",21.8,21
"22","Oklahoma",24,24
"23","Arkansas",26,26
"24","Indiana",26,27
"25","Mississippi",26,25
"26","Georgia",26.4,27
"27","North Carolina",26.6,28
"28","Tennessee",26.8,24
"29","Oregon",27.4,23
"30","South Carolina",29.6,29
"31","Alaska",29.8,25
"32","Missouri",32,32
"33","Arizona",32.6,34
"34","Delaware",33,33
"35","Florida",33.4,34
"36","Maryland",34,37
"37","North Dakota",36.2,35
"38","Idaho",38,39
"39","Montana",39.4,40
"40","Nebraska",40,47
"41","Colorado",40.4,41
"42","Minnesota",41.2,42
"43","Illinois",42.2,42
"44","Wyoming",42.6,43
"45","Louisiana",43.2,46
"46","Iowa",45.8,46
"47","South Dakota",45.8,45
"48","Utah",46.6,47
"49","Wisconsin",46.6,47
