All Incident Codes,Age Category
010100,2
001000,2
010000,2
001000,2
101000,0
001100,2
000000,2
001000,2
010001,2
001001,2
010000,2
001100,2
001100,2
010100,2
001000,2
001100,2
001000,2
001000,2
001100,2
001000,2
001000,2
001000,2
001100,2
010100,2
001000,2
000000,2
001000,2
001100,2
001100,2
001100,2
001100,2
010000,2
001100,2
101000,0
001100,2
001000,2
001100,2
001100,2
001100,2
001100,2
010100,2
001100,2
001100,2
001100,2
001000,2
001100,2
001000,2
110000,0
001000,2
001000,2
001000,2
001100,2
001000,2
010100,2
010100,2
010000,2
000000,2
000000,2
010000,2
000100,2
010100,2
010000,2
000000,2
000000,2
010100,2
010000,2
000000,2
000000,2
000000,2
000000,2
010000,2
000100,2
000100,2
010100,2
001000,2
000000,2
000100,2
010100,2
000000,2
000001,2
010000,2
010100,2
000000,2
010000,2
010000,2
000000,2
000000,2
010000,2
000000,2
000000,2
000000,2
000100,2
000000,2
000100,2
010000,2
000000,2
000000,2
000000,2
000100,2
000100,2
000000,2
010000,2
000000,2
010000,2
000001,2
010100,2
010000,2
000000,2
010100,2
010100,2
000000,2
000000,2
000000,2
000000,2
000100,2
000100,2
000000,2
010100,2
010000,2
010000,2
000000,2
010000,2
000100,2
000000,2
010000,2
010000,2
000100,2
000000,2
010000,2
010000,2
010000,2
010000,2
010100,2
010000,2
000100,2
000000,2
010100,2
000000,2
010100,2
010100,2
010100,2
010000,2
000000,2
000000,2
010000,2
010000,2
010000,2
010000,2
010000,2
010000,2
010000,2
000100,2
000000,2
010000,2
010000,2
000100,2
010000,2
010000,2
010000,2
000000,2
010100,2
010000,2
010000,2
010100,2
010100,2
010000,2
010100,2
010100,2
010000,2
010000,2
010000,2
010100,2
010100,2
010100,2
010000,2
010100,2
000000,2
010100,2
010000,2
010001,2
000000,2
010000,2
010100,2
000100,2
010000,2
010000,2
000100,2
010100,2
000000,2
010000,2
010000,2
010000,2
010000,2
010000,2
010100,2
010000,2
010100,2
000000,2
010000,2
010000,2
010000,2
010000,2
010000,2
010000,2
010100,2
010100,2
000000,2
000000,2
000000,2
010100,2
010000,2
000100,2
010000,2
000000,2
000100,2
011000,2
000000,2
000100,2
010000,2
000100,2
010000,2
010000,2
000000,2
010100,2
000100,2
000000,2
010001,2
010000,2
000000,2
000100,2
000000,2
010000,2
010000,2
000000,2
000000,2
010000,2
010000,2
000000,2
000000,2
000000,2
010100,2
000000,2
000100,2
010000,2
000100,2
010000,2
000000,2
010000,2
010100,2
000000,2
010100,2
000100,2
010000,2
000000,2
000100,2
010000,2
000000,2
010100,2
000100,2
010000,2
010100,2
010000,2
000000,2
011100,2
000000,2
000000,2
010000,2
000000,2
010000,2
000100,2
000000,2
010100,2
010100,2
010100,2
010000,2
000000,2
010000,2
010000,2
011000,2
010100,2
010000,2
110000,0
000000,2
010100,2
000000,2
011100,2
000000,2
000000,2
000000,2
010100,2
010000,2
000000,2
010100,2
000100,2
010100,2
000100,2
000100,2
010100,2
010100,2
000000,2
000000,2
010000,2
010100,2
000000,2
000000,2
010100,2
000100,2
000000,2
000000,2
010000,2
010000,2
010000,2
010100,2
000000,2
000000,2
010000,2
000000,2
000000,2
010100,2
010000,2
010100,2
010100,2
000001,2
000000,2
010100,2
010100,2
010100,2
000000,2
000000,2
010100,2
000000,2
010100,2
010000,2
000100,2
010100,2
000000,2
010100,2
010000,2
010000,2
010001,2
001000,2
010000,2
000100,2
000100,2
000000,2
010000,2
000001,2
000100,2
010000,2
000100,2
010000,2
010000,2
010000,2
010000,2
000000,2
010100,2
010100,2
010000,2
010000,2
010000,2
010100,2
010000,2
000000,2
000100,2
000100,2
010000,2
010000,2
010100,2
010000,2
010000,2
001000,2
000000,2
010000,2
000100,2
010100,2
000000,2
000100,2
010000,2
000000,2
010101,2
000000,2
010100,2
010000,2
000000,2
010000,2
000000,2
010000,2
010000,2
000000,2
000000,2
010100,2
010000,2
010000,2
010100,2
010100,2
010000,2
010000,2
010000,2
000000,2
010100,2
010000,2
010000,2
010000,2
000100,2
010000,2
010000,2
010000,2
010000,2
010000,2
000100,2
010000,2
010000,2
010100,2
010100,2
000000,2
010000,2
010000,2
010100,2
000100,2
010000,2
010000,2
010000,2
000100,2
010000,2
010000,2
110000,0
010100,2
110000,0
010100,2
000000,2
110000,0
000100,2
010100,2
010100,2
010000,2
110000,0
010000,2
010000,2
010000,2
010100,2
010000,2
010000,2
010100,2
000000,2
000100,2
010001,2
010000,2
000000,2
000100,2
010000,2
010000,2
010000,2
010000,2
010000,2
010000,2
010000,2
000000,2
010100,2
010100,2
010100,2
010000,2
010100,2
000100,2
010000,2
010100,2
010100,2
010100,2
010100,2
010100,2
010100,2
010000,2
010100,2
010000,2
010000,2
010000,2
010000,2
000000,2
010000,2
010100,2
000000,2
010000,2
010000,2
010000,2
010000,2
000000,2
000001,2
000000,2
000000,2
000000,2
010000,2
000000,2
010000,2
010000,2
010100,2
000100,2
010100,2
010000,2
010000,2
000000,2
010000,2
010000,2
010000,2
000000,2
010000,2
010000,2
000000,2
010000,2
010000,2
010000,2
010000,2
010000,2
010000,2
010100,2
000000,2
000100,2
010000,2
010000,2
010000,2
010000,2
010100,2
000000,2
000000,2
010000,2
000000,2
010000,2
000000,2
010000,2
000100,2
000000,2
000000,2
000001,2
000100,2
000000,2
000000,2
000000,2
000000,2
001100,2
010000,2
010100,2
010000,2
010000,2
010100,2
010100,2
010100,2
010100,2
010000,2
010000,2
010000,2
010000,2
010000,2
010000,2
010000,2
010000,2
010100,2
010000,2
000000,2
000001,2
000000,2
010000,2
010000,2
010000,2
010000,2
010000,2
000000,2
010100,2
010000,2
000000,2
010000,2
010100,2
010000,2
010000,2
010000,2
010100,2
010000,2
010100,2
010000,2
010100,2
010000,2
010000,2
000000,2
010000,2
000001,2
010000,2
010000,2
000000,2
010000,2
000000,2
000000,2
010000,2
000000,2
000000,2
000000,2
000000,2
010100,2
001000,2
010001,2
010100,2
010000,2
010100,2
100000,0
110000,0
100100,0
000000,2
010000,2
000100,2
000000,2
010100,2
000000,2
010000,2
010100,2
000000,2
000000,2
010100,2
010100,2
010000,2
010100,2
010000,2
010100,2
010100,2
000000,2
010000,2
010000,2
010000,2
010000,2
010000,2
010000,2
010100,2
010000,2
010000,2
010000,2
010100,2
010000,2
000100,2
010100,2
010100,2
010000,2
010100,2
010100,2
000000,2
000000,2
010100,2
010100,2
010100,2
000000,2
010100,2
010100,2
010100,2
010100,2
000100,2
010100,2
000000,2
000100,2
000000,2
010000,2
010000,2
010000,2
000000,2
000100,2
000000,2
000100,2
010100,2
010100,2
010100,2
010100,2
010100,2
010000,2
010100,2
010100,2
010100,2
000000,2
001001,2
000000,2
010000,2
010100,2
010100,2
010000,2
010000,2
000000,2
010000,2
000000,2
010000,2
000000,2
000000,2
000100,2
000100,2
110000,0
010100,2
000100,2
000000,2
010100,2
010100,2
000000,2
000000,2
000100,2
000000,2
000000,2
000100,2
000000,2
010000,2
010000,2
010000,2
010100,2
010000,2
000000,2
010101,2
010000,2
010000,2
000000,2
010100,2
010100,2
000000,2
010000,2
000000,2
010000,2
000000,2
000100,2
010000,2
010100,2
010100,2
010000,2
000000,2
010100,2
010000,2
010000,2
010000,2
010000,2
010000,2
010100,2
010100,2
010100,2
010000,2
010000,2
010000,2
010000,2
010000,2
010000,2
010100,2
010000,2
010000,2
010000,2
000000,2
000000,2
010100,2
010000,2
010000,2
000000,2
001000,2
110000,0
010000,2
010100,2
010000,2
000000,2
000100,2
010000,2
010000,2
010100,2
000000,2
010100,2
010100,2
010000,2
010100,2
010000,2
010000,2
010000,2
000000,2
000100,2
010000,2
010100,2
000100,2
010000,2
010100,2
010000,2
000000,2
110000,0
010000,2
101000,0
010100,2
010000,2
010100,2
001000,2
010100,2
010000,2
010100,2
010100,2
010000,2
010100,2
010000,2
010100,2
000100,2
010100,2
000000,2
010000,2
000100,2
010100,2
000100,2
010000,2
010000,2
000100,2
010000,2
010000,2
000100,2
000000,2
000000,2
000000,2
010000,2
000000,2
010000,2
010000,2
000000,2
010000,2
010100,2
000100,2
010100,2
010100,2
010000,2
010000,2
000000,2
000000,2
010000,2
010000,2
010000,2
000000,2
010000,2
010000,2
000100,2
010100,2
000100,2
000000,2
000000,2
000000,2
010001,2
010000,2
010000,2
010000,2
010100,2
000000,2
010000,2
010000,2
000000,2
000000,2
000000,2
000000,2
000000,2
000000,2
000000,2
000000,2
100000,0
000000,2
100000,0
001000,2
001000,2
001000,2
011000,2
000100,2
000000,2
000100,2
010000,2
000100,2
000100,2
010100,2
000000,2
010000,2
000100,2
010100,2
000000,2
000000,2
010100,2
010100,2
010000,2
000000,2
000100,2
000001,2
010000,2
010000,2
000000,2
000000,2
010000,2
010000,2
000000,2
010000,2
000000,2
010100,2
010100,2
010000,2
000000,2
010100,2
000000,2
000000,2
000100,2
000000,2
010100,2
010100,2
010100,2
010000,2
010000,2
010100,2
010100,2
010000,2
010000,2
010000,2
000100,2
010100,2
000000,2
000001,2
010000,2
000000,2
000000,2
010100,2
000000,2
010000,2
000000,2
000000,2
000000,2
000000,2
010000,2
000100,2
000000,2
000000,2
010000,2
010100,2
000100,2
010100,2
000100,2
000000,2
000000,2
000000,2
010000,2
000000,2
010000,2
000100,2
010000,2
000000,2
000000,2
010000,2
010100,2
010000,2
000101,2
010100,2
011100,2
010100,2
000000,2
000000,2
000100,2
010000,2
000000,2
010000,2
000000,2
010100,2
010000,2
010000,2
010000,2
010000,2
000100,2
010100,2
001000,2
010100,2
110000,0
100000,0
010000,2
010000,2
010100,2
010000,2
010100,2
010000,2
000100,2
010100,2
010000,2
000000,2
010000,2
010100,2
010100,2
000000,2
010000,2
010100,2
000000,2
010100,2
000100,2
000000,2
010100,2
000000,2
010100,2
000000,2
010000,2
000000,2
000000,2
000100,2
000000,2
010100,2
000000,2
000100,2
010000,2
010000,2
010000,2
000000,2
010000,2
010000,2
010000,2
010000,2
010000,2
000000,2
010100,2
000000,2
010000,2
010100,2
010000,2
010100,2
010100,2
010000,2
000000,2
010100,2
010001,2
000000,2
010100,2
000000,2
010000,2
010000,2
010000,2
010000,2
010000,2
000100,2
010100,2
000000,2
010100,2
010000,2
010100,2
010000,2
010000,2
000000,2
010100,2
010000,2
010000,2
010100,2
000000,2
010000,2
010000,2
010000,2
010100,2
010000,2
010000,2
010000,2
000000,2
010000,2
000100,2
010000,2
010100,2
010000,2
010000,2
000100,2
010000,2
010100,2
001000,2
010000,2
010100,2
010100,2
010000,2
010000,2
010000,2
010000,2
000000,2
000000,2
000000,2
110000,0
100000,0
010000,2
010100,2
000100,2
010100,2
011000,2
010100,2
010100,2
010000,2
010000,2
000000,2
010000,2
010000,2
010000,2
010000,2
010100,2
010000,2
010100,2
010000,2
010100,2
010100,2
010000,2
010001,2
010100,2
000100,2
010000,2
000100,2
000000,2
010100,2
000000,2
010000,2
010100,2
010100,2
100000,0
110000,0
110000,0
110000,0
110000,0
100000,0
010000,2
010100,2
010000,2
010100,2
010000,2
000000,2
010000,2
010000,2
000100,2
000000,2
010000,2
010100,2
000000,2
010000,2
000000,2
010000,2
000000,2
010000,2
001100,2
010000,2
010000,2
010000,2
010000,2
010000,2
000000,2
010000,2
010000,2
010000,2
000000,2
010000,2
000000,2
010100,2
000100,2
010100,2
010100,2
010100,2
010100,2
010000,2
010000,2
010000,2
010100,2
010100,2
010100,2
010100,2
010000,2
010000,2
010000,2
010000,2
000100,2
010100,2
010100,2
000100,2
010000,2
010100,2
010000,2
010000,2
010100,2
010000,2
010100,2
010100,2
010000,2
000100,2
010000,2
000000,2
000000,2
010000,2
000000,2
000100,2
000000,2
000100,2
000100,2
010000,2
000000,2
000100,2
000000,2
010000,2
000000,2
000000,2
000000,2
000000,2
010000,2
110000,0
010000,2
010100,2
010100,2
000100,2
000000,2
010100,2
010000,2
000000,2
010100,2
000100,2
010000,2
100000,0
000100,2
000000,2
000000,2
010000,2
010101,2
010100,2
010100,2
010000,2
010000,2
000000,2
010100,2
010000,2
010000,2
010000,2
010000,2
010000,2
010000,2
010100,2
010000,2
010000,2
010000,2
000000,2
010100,2
010100,2
010100,2
010000,2
010000,2
010100,2
000000,2
000000,2
010100,2
000000,2
000000,2
010100,2
000000,2
010000,2
010000,2
000000,2
010000,2
000100,2
010000,2
110000,0
010100,2
010000,2
010100,2
000000,2
000100,2
000100,2
000000,2
000100,2
010000,2
010100,2
000000,2
000000,2
000000,2
010000,2
001000,2
001000,2
010000,2
010000,2
010000,2
010100,2
010000,2
010100,2
010100,2
010000,2
010100,2
010100,2
010000,2
010100,2
010100,2
000100,2
010100,2
010100,2
000000,2
110100,0
010100,2
010100,2
010000,2
010100,2
010100,2
000000,2
010100,2
011000,2
010000,2
010100,2
000000,2
000100,2
010000,2
001000,2
010000,2
000000,2
010001,2
000000,2
000000,2
010100,2
010000,2
010000,2
000000,2
010000,2
000000,2
010000,2
010100,2
010000,2
010000,2
000000,2
000100,2
000100,2
010100,2
010000,2
010000,2
000000,2
010000,2
010100,2
010100,2
010100,2
110000,0
000000,2
010000,2
010100,2
010000,2
010000,2
010000,2
010100,2
000000,2
001000,2
000000,2
000100,2
000100,2
010100,2
000000,2
000100,2
010000,2
000000,2
000100,2
000100,2
000100,2
000000,2
010100,2
000000,2
000000,2
000000,2
001100,2
000000,2
010100,2
000100,2
010000,2
010100,2
010000,2
000100,2
000000,2
000100,2
000100,2
000000,2
010100,2
010000,2
000000,2
010100,2
000001,2
000000,2
000000,2
000000,2
000000,2
000000,2
010000,2
010100,2
010100,2
000000,2
000100,2
010100,2
000000,2
000000,2
000000,2
000100,2
000000,2
100100,0
000000,2
010000,2
010000,2
000100,2
010000,2
000000,2
000100,2
000100,2
010000,2
000100,2
000100,2
000000,2
000100,2
000000,2
000100,2
010100,2
000000,2
010100,2
001000,2
010000,2
000000,2
000000,2
000000,2
010100,2
000100,2
010000,2
000000,2
000000,2
000000,2
000100,2
000100,2
010100,2
010100,2
010100,2
010100,2
000000,2
010000,2
000100,2
010000,2
000000,2
000001,2
000000,2
000000,2
000100,2
000100,2
010000,2
000000,2
010000,2
010000,2
010000,2
010100,2
010000,2
010000,2
010000,2
000000,2
000000,2
000000,2
010100,2
000000,2
010100,2
010000,2
000000,2
010100,2
110000,0
000000,2
000000,2
100000,0
000100,2
000000,2
000000,2
010100,2
000000,2
000000,2
100000,0
000000,2
000000,2
100000,0
010100,2
000100,2
000000,2
000100,2
000100,2
000000,2
010000,2
110000,0
001000,2
010000,2
110000,0
010100,2
000100,2
100000,0
000100,2
010100,2
000100,2
010000,2
011000,2
110000,0
010000,2
010100,2
110000,0
010100,2
011000,2
000100,2
000100,2
000100,2
000000,2
000000,2
000100,2
000000,2
000000,2
000100,2
010100,2
000000,2
000001,2
010100,2
000000,2
010000,2
010000,2
010000,2
010000,2
010100,2
010000,2
000000,2
010000,2
000000,2
010100,2
010000,2
010100,2
000000,2
000000,2
000000,2
010100,2
000000,2
000000,2
000100,2
000000,2
010100,2
010100,2
010000,2
010100,2
000000,2
000100,2
000100,2
010000,2
000000,2
010100,2
000000,2
000100,2
000000,2
010000,2
010000,2
010000,2
010000,2
000000,2
010000,2
010000,2
010000,2
010000,2
010000,2
010000,2
010000,2
010100,2
010100,2
010100,2
010000,2
000000,2
010001,2
000000,2
000100,2
000100,2
010100,2
000100,2
000000,2
001100,2
010000,2
010100,2
000000,2
010000,2
000000,2
010100,2
000000,2
100000,0
100000,0
000000,2
110000,0
010100,2
100000,0
000100,2
010100,2
110000,0
000000,2
110001,0
000000,2
000000,2
000000,2
010000,2
000000,2
110000,0
110000,0
110000,0
000100,2
000100,2
010000,2
000100,2
000000,2
010000,2
010000,2
010000,2
010000,2
000000,2
000100,2
000100,2
010000,2
010100,2
000000,2
010000,2
000100,2
000000,2
000000,2
010100,2
000000,2
010100,2
000000,2
010100,2
010000,2
000000,2
000000,2
000100,2
010000,2
010100,2
110100,0
000100,2
100000,0
000000,2
010100,2
000000,2
000100,2
010000,2
010100,2
010000,2
001000,2
000000,2
001000,2
001000,2
010100,2
010100,2
001000,2
010100,2
000000,2
010000,2
000000,2
010000,2
010100,2
010100,2
010100,2
010100,2
010100,2
010000,2
010100,2
010100,2
010000,2
010100,2
010000,2
010100,2
010000,2
010100,2
000000,2
010100,2
010000,2
010000,2
000000,2
010100,2
010000,2
010100,2
010000,2
010000,2
010000,2
010100,2
010000,2
010000,2
010000,2
010000,2
010000,2
010000,2
010100,2
010100,2
010000,2
010000,2
010100,2
010100,2
000000,2
000000,2
000000,2
010000,2
000100,2
000100,2
000000,2
000100,2
010000,2
010000,2
000000,2
000100,2
000100,2
000100,2
010100,2
010100,2
010100,2
000100,2
000000,2
000000,2
000000,2
010100,2
010000,2
010000,2
010100,2
010100,2
000000,2
010000,2
010100,2
010000,2
010000,2
010100,2
000000,2
010000,2
010100,2
010000,2
010000,2
010000,2
010000,2
010100,2
010000,2
010000,2
000000,2
000000,2
010100,2
010100,2
000000,2
010100,2
010100,2
010000,2
000000,2
010000,2
110000,0
010000,2
010000,2
010000,2
010000,2
000000,2
000100,2
000100,2
010000,2
010100,2
001100,2
010000,2
010000,2
010000,2
010100,2
010000,2
010000,2
010100,2
000000,2
000100,2
000100,2
010000,2
000100,2
010000,2
010000,2
010000,2
000000,2
000000,2
010000,2
010000,2
010000,2
000000,2
010000,2
000000,2
010100,2
010000,2
010000,2
010100,2
000100,2
000000,2
000000,2
010100,2
010000,2
010100,2
000100,2
010000,2
000000,2
010000,2
010000,2
010000,2
000000,2
010000,2
010100,2
010000,2
000000,2
010100,2
010000,2
010100,2
010000,2
000000,2
000100,2
000000,2
000000,2
000000,2
010100,2
010100,2
000100,2
010000,2
