All Incident Codes,Age Category
001000010000000000000100000001,2
010100,2
010000,2
010000000100,2
010000010000000000000000010101,2
000000,2
010000010000010100010000010100010000010101,2
000000,2
000000,2
110000,0
010100010000000100010100,2
010000,2
010100,2
000000,2
010100,2
110000,0
000000010001,2
010000000100000001000011,2
000000000001,2
000000,2
010000,2
010100,2
010000,2
000000,2
100100110000,0
000000000000,2
010000010100010000010100010100010000000001,2
110000110000,0
001000000000,2
000000,2
110100,0
000100,2
110100,0
010100,2
110100100000,0
110000,0
110100,0
000000,2
110100,0
000000,2
000000,2
010000000100000000010100,2
110100,0
100000110000010001,1
010100,2
010000010000,2
010000010000,2
010000,2
110000110001,0
010100010101010100010100010100010100010100010100010100000000010101010001,2
000000010000000001,2
010000,2
010000,2
010000,2
010000000000,2
100100,0
010000,2
000100,2
000000,2
010100010010,2
100000,0
010100,2
110000100000,0
000100000000010101000100,2
100000,0
000100,2
010000000000000000,2
000100000101,2
010100,2
000000000100010100011001,2
100100010100000100,1
000000,2
010100,2
000000,2
010000000001,2
000000,2
000100,2
100100,0
110000,0
000100,2
000000,2
010000,2
110100,0
000100,2
110100100000,0
010000,2
010000,2
010100010000,2
010100,2
010000,2
010000000101000101,2
010100,2
000100,2
110000,0
000100000101010101010101,2
000000,2
001100,2
010100010001,2
000100,2
010000010100,2
100100100000100000110000,0
000000,2
010100,2
000100000000,2
110100,0
011000000100,2
000000,2
000100000000,2
010000,2
010100,2
000000000001,2
010000,2
000100000000,2
010100010100,2
010000,2
010100,2
010100010100010001010101,2
010000010100000100010010,2
110000110100110000,0
000100,2
000000,2
000100,2
100000100100,0
000100010100,2
010000,2
010000010101,2
000000,2
000000,2
010000,2
010100,2
010000,2
000000,2
010000000000,2
010100010000,2
010000010000000001010000,2
001100010100,2
010100,2
010100010100,2
010100010001,2
000000,2
000100,2
010000,2
000100000100,2
010000000000000001010101,2
010100,2
010100000100,2
000000,2
010100000100,2
000100,2
000000,2
010100,2
000000010000010001000101000101,2
000000,2
010100010100000001000101,2
010000010001,2
010100010100,2
001000,2
010010,2
010000,2
010000010100010100010000,2
010000,2
010000,2
010100,2
010000010101010101010101,2
010100010100010101010101010001010101000001010101,2
010010,2
010000,2
000000,2
000100000100,2
010000010000,2
110100,0
010100,2
010000,2
010000,2
010000010000,2
010000,2
010000,2
100100,0
000100,2
010000,2
010000,2
010000,2
100100,0
010100,2
000000000000000001,2
010000010000,2
010000000100010100,2
000100,2
000000,2
110100,0
010000,2
000000,2
000100,2
110100,0
000100,2
000001000000000000000100,2
000000,2
010000,2
100100010100,1
010100010010,2
000100000000,2
110100,0
110100,0
000100,2
010010,2
010000,2
000100,2
010000010000,2
010100,2
001100,2
110000,0
010000000000010100,2
010000,2
010010,2
010000,2
000000,2
010000000100,2
010000010100,2
000000,2
100000110000,0
010000,2
010000,2
000000010000010100010100,2
000000,2
010000,2
010000,2
010000010000,2
010100010010,2
010000,2
100100110001010001,1
000100010000,2
010000,2
010000000100,2
000100,2
010100,2
010100,2
110000,0
000100,2
000000010001,2
010000,2
000100001000,2
010100,2
010100,2
010100,2
100000,0
110100,0
110100010001,1
000000,2
110000,0
110000110000100100110100,0
010000,2
010000,2
010000000000000000010000,2
000000010010000001010011,2
110000000001,1
000000010101,2
