All Incident Codes,Age Category
110100,1
110000110100100100100100100000100000100000100100110011,1
110000110100110100110100100100110011,1
100100100000,1
100000100100,1
100000110000110000100100100000100010100011100011100011,1
110010,1
110000,1
110000,1
100010,1
110000,1
100000,1
110000,1
110100,1
101000,1
110000,1
110000,1
110000,1
110000110000,1
110010,1
110000,1
110000,1
110001,1
110000,1
110000,1
111000,1
101100110000,1
110000,1
110000100000110100100000100010,1
100100100000,1
110000110000,1
110000,1
110000110100110100110100100011,1
110010110000,1
110000100000110100100000100000100000,1
100100110000100000100000110000110010100011110001,1
100000,1
110000110100,1
100000110000110000110000110000110000,1
110010100000110000,1
110000110000110000,1
111100111000111010111010,1
110100110000110100110100110011,1
101010100000100100,1
100000100000101010110001100001110001100011,1
100000110000100000,1
110100110000110011,1
110000100000100000,1
110100100100,1
100000,1
111100110100110100110000,1
110000110100110001110100,1
110000110000110001,1
110000110010,1
100000,1
100000100000,1
100000110000100000,1
100010101010,1
110000110011,1
110000110001110001,1
110000110000110000110011,1
110000100000110000100100110000110100110011,1
110000110000100010,1
110010110000110000110011,1
101000,1
100000,1
110010110001,1
110000110000,1
110010,1
100000110101,1
110000110100100100110010110000110000,1
101000,1
110000,1
110000,1
110000,1
110000,1
110000,1
100000,1
100000,1
110000,1
110001,1
100000,1
110010,1
110010,1
110000,1
110000,1
110000,1
100100,1
110000,1
100100,1
101000101000110001,1
110000100000,1
110000,1
100000100000100000100100,1
110010110000110000110000110010110010,1
110000,1
110100100000110000110100100100110011,1
110000110100,1
110100110011,1
110000,1
110000110000110000,1
100000,1
110010110010,1
110000110000110011,1
100000110100100100100100,1
100100,1
110000,1
110000100000,1
110000,1
110000,1
110100110000100000,1
110100100100100000,1
110100,1
100000110000110000100000,1
110000110000110000,1
110000100000110000,1
110000110000,1
110000110010110000110000100000110011,1
110000110000,1
110100,1
110000,1
110000,1
110000,1
110000100000101000,1
100000,1
100000110000,1
110000,1
110000100100,1
110000100100100000100000100000100100,1
101000100000,1
110100110100111100110101110011,1
110000110100110000110100110000110100110000110000110100110000110010110000110000,1
110000110000110000110100110000100100110001100011,1
110000,1
110000,1
100000110100110100100000110010,1
110000110100,1
110100110000110000110101,1
110100110000,1
100100100000110000110000,1
100000,1
100001100000,1
110000,1
100000,1
100000100000110000100000110100110011,1
110100,1
110101,1
110000,1
110000,1
110000,1
110000,1
110000,1
110000,1
110000,1
110000,1
110000,1
110000,1
110000,1
110100,1
100000110100110100110000100000,1
110000110000,1
100000,1
110000,1
110000,1
110000,1
110000,1
110000,1
100000,1
110000,1
100000110010,1
110000,1
100000,1
110010,1
110000,1
101000,1
110010,1
110000,1
110000,1
110000110001,1
100000110001,1
100000,1
110000110100,1
110000110000100000110000110000110000100000100001110001,1
100000,1
110000,1
110010110010,1
110000,1
110000,1
100000,1
100000110101,1
110100,1
110000,1
110010,1
110000,1
110100,1
100100,1
110000,1
100000,1
100000,1
110000,1
110000100000,1
100000100000,1
110000110000,1
110000111100,1
110100,1
110100,1
110000110001110011,1
100000,1
110000110000110000,1
110100,1
101100,1
110100100100101100110100100000110100100100,1
110100110000,1
100100110100100011,1
100000110000110000110100,1
100000100000100100100100110000,1
100100100100110000,1
110100,1
110000100100,1
101100,1
110100110100110000110000,1
110000110100110000110000,1
100100100100,1
100100100000110000110000100100110100110100100101,1
110010110010110000,1
100000100000100000100000100000,1
110000101000110011,1
110000,1
100000,1
100010,1
110000110000110001,1
101000101100,1
110010110010,1
110100110100100101110101100011100011,1
100000100000100000100000,1
100000100000110001,1
100000100000100000,1
110000110100,1
100001101000,1
110000110000,1
100100,1
110100,1
100100,1
100000,1
110100,1
100000110000110011,1
100000,1
100000,1
100000100000100100100000110001,1
110100,1
100000,1
101010,1
100000,1
110000100000100000100011,1
110000,1
110000,1
110010,1
110000,1
110100,1
111000111001,1
110000,1
100100,1
100100,1
100000,1
110000,1
110100,1
100100,1
110000,1
100000,1
110100,1
110100110010,1
110000,1
110000110000110010110000110011100011,1
110010,1
110000100000,1
110100100000,1
110100110000100000,1
110100110000100000100011,1
110000110000,1
110010110000,1
110000100000,1
110100110000110010110011,1
100000,1
100000,1
110100110100110100110100100100110000110100100000110000,1
110010100000110010110010110010110010110010110010110010110011110011110011,1
110000110000110000110100110100110011,1
110010110000110000110000,1
110000100000,1
100000100000110010,1
110000100000100000100000100011,1
100000110000100000100000110000100000,1
100000,1
110000100100110100100010110000110001110010110000110001110001110101110101110101110101110101110001110101,1
110000100000110000110000,1
110000100000,1
100000,1
100100110100110000110001,1
110000110000110000,1
111100110000,1
110001110100,1
110000110000100000110000110100100100100011,1
100000,1
