,Code,Untruncated Offense,FBI Category,MOST_SER_RANK,OFFENSE_TYPE,GRID,Penalty Type,Mandatory Gun,Police Notification,SORB,SDP,"Now Legal?
",Expungeable?,"If no, why not?",extra_criteria,Description,Chapter,Section
0,61,A&b,Other Assaults,24.0,Person,2,Misdemeanor,,,,,,Yes,,,A&B,,
1,1184,A&B  Ch. 265 S 13A(a),Other Assaults,24.0,Person,2,Misdemeanor,,,,,,Yes,,,A&B ,265,13A(a)
2,60,A&b on a corrections officer,Other Assaults,18.0,Person,3,Felony,,,,,,No,Ch 265 Felony,,A&B ON A CORRECTIONS OFFICER,,
3,401,A&b on a public servant,Other Assaults,18.0,Person,3,Misdemeanor,,,,,,Yes,,,A&B ON A PUBLIC SERVANT,,
4,1310,A&B on child to coerce criminal conspiracy  Ch. 265 S 44,Other Assaults,18.0,Person,3,Felony,,,,,,No,Ch 265 Felony,,A&B ON CHILD TO COERCE CRIMINAL CONSPIRACY ,265,44
5,1311,"A&B on child to coerce criminal conspiracy, subsq. off.  Ch. 265 S 44",Other Assaults,18.0,Person,3,Felony,,,,,,No,Ch 265 Felony,,"A&B ON CHILD TO COERCE CRIMINAL CONSPIRACY, SUBSQ. OFF. ",265,44
6,1205,"A&B on child under 14, bodily injury  Ch. 265 S 13J",Other Assaults,12.0,Person,4,Felony,,,,,,No,Ch 265 Felony,,"A&B ON CHILD UNDER 14, BODILY INJURY ",265,13J
7,1206,"A&B on child under 14, substantial bodily injury  Ch. 265 S 13J",Other Assaults,7.0,Person,5,Felony,,,,,,No,Ch 265 Felony,,"A&B ON CHILD UNDER 14, SUBSTANTIAL BODILY INJURY ",265,13J
8,63,A&b on child with injury,Other Assaults,18.0,Person,3,Felony,,,,,,No,Ch 265 Felony,,A&B ON CHILD WITH INJURY,,
9,64,A&b on child with substantial injury,Other Assaults,7.0,Person,5,Felony,,,,,,No,Ch 265 Felony,,A&B ON CHILD WITH SUBSTANTIAL INJURY,,
10,1143,A&B on correction officer  Ch. 127 S 38B,Other Assaults,18.0,Person,3,Felony,,,,,,Yes,,,A&B ON CORRECTION OFFICER ,127,38B
11,65,A&b on elder (+60)/disabled person; bodily injury,Other Assaults,18.0,Person,3,Felony,,,,,,No,Elderly/Disabled,,A&B ON ELDER (+60)/DISABLED PERSON; BODILY INJURY,,
12,66,A&b on elder (+60)/disabled person; serious bodily injury,Other Assaults,12.0,Person,4,Felony,,,,,,No,Death or serious bodily injury,,A&B ON ELDER (+60)/DISABLED PERSON; SERIOUS BODILY INJURY,,
13,1208,A&B on elder 60 or over/disabled person  Ch. 265 S 13K(a cent),Other Assaults,24.0,Person,2,Felony,,,,,,No,Ch 265 Felony,,A&B ON ELDER 60 OR OVER/DISABLED PERSON ,265,13K(a cent)
14,1209,"A&B on elder 60 or over/disabled person, bodily injury  Ch. 265 S 13K(b)",Other Assaults,18.0,Person,3,Felony,,,,,,No,Ch 265 Felony,,"A&B ON ELDER 60 OR OVER/DISABLED PERSON, BODILY INJURY ",265,13K(b)
15,1210,"A&B on elder 60 or over/disabled person, serious bodily injury  Ch. 265 S 13K(c)",Other Assaults,12.0,Person,4,Felony,,,,,,No,Ch 265 Felony,,"A&B ON ELDER 60 OR OVER/DISABLED PERSON, SERIOUS BODILY INJURY ",265,13K(c)
16,1662,A&B on family member Ch. 265 S 13M,Other Assaults,24.0,Person,2,Felony,,,,,,No,Ch 265 Felony,,A&B ON FAMILY MEMBER,265,13M
17,1660,"A&B on family member, subsq.  Ch. 265 S 13M",Other Assaults,18.0,Person,3,Felony,,,,,,No,Ch 265 Felony,,"A&B ON FAMILY MEMBER, SUBSQ. ",265,13M
18,1195,A&B on public employee  Ch. 265 S 13D,Other Assaults,24.0,Person,2,Misdemeanor,,,,,,Yes,,,A&B ON PUBLIC EMPLOYEE ,265,13D
19,62,A&b on retarded person,Other Assaults,18.0,Person,3,Felony,,,,,,No,Disabled,,A&B ON RETARDED PERSON,,
20,1197,A&B on retarded person  Ch. 265 S 13F,Other Assaults,18.0,Person,3,Felony,,,,,,No,Ch 265 Felony,,A&B ON RETARDED PERSON ,265,13F
21,1198,"A&B on retarded person, subsq. off.  Ch. 265 S 13F",Other Assaults,18.0,Person,3,Felony,,,,,,No,Ch 265 Felony,,"A&B ON RETARDED PERSON, SUBSQ. OFF. ",265,13F
22,410,A&b or property damage to intimidate for race/religion,Other Assaults,24.0,Person,2,Misdemeanor,,,,,,Yes,,,A&B OR PROPERTY DAMAGE TO INTIMIDATE FOR RACE/RELIGION,,
