,Charge,NW.Counts,SF.Counts,Description,Chapter,Section,Expungeable.,tempID,Reason not expungeable,Statute,Analysis notes
1,SEX OFFENDER FAIL TO REGISTER c6 §178H,10,0,SEX OFFENDER FAIL TO REGISTER,6,178H,Yes,1,"not in the list of non-expungable offenses in 100J. However, one cannot fail to register without being a sex offender, and sex offenses are not expungable. 100Ja(6), 100Ja(10)",100J(6),
2,FAILURE TO REGISTER OR VERIFY REGISRATION INFO BY SEX OFFENDER c. 6 s. 178H,0,2,FAILURE TO REGISTER OR VERIFY REGISRATION INFO BY SEX OFFENDER,6,178H,Yes,2,"not in the list of non-expungable offenses in 100J. However, one cannot fail to register without being a sex offender, and sex offenses are not expungable. 100Ja(6), 100Ja(10)",100J(6),
3,SEX OFFENDER FAIL TO REGISTER C6/178H (a)(i) HABITUAL OFFENDER,3,0,SEX OFFENDER FAIL TO REGISTER C6/178H (A)(I) HABITUAL OFFENDER,6,178H (a)(i) HABITUAL OFFENDER,Yes,3,"not in the list of non-expungable offenses in 100J. However, one cannot fail to register without being a sex offender, and sex offenses are not expungable. 100Ja(6), 100Ja(10)",100J(6),
4,SEX OFFENDER FAIL TO REGISTER C6/178H (a)(iii) HABITUAL OFFENDER,4,0,SEX OFFENDER FAIL TO REGISTER C6/178H (A)(III) HABITUAL OFFENDER,6,178H (a)(iii) HABITUAL OFFENDER,Yes,4,"not in the list of non-expungable offenses in 100J. However, one cannot fail to register without being a sex offender, and sex offenses are not expungable. 100Ja(6), 100Ja(10)",100J(6),
5,SEX OFFENDER FAIL TO REGISTER C6/178H (a)(iv) HABITUAL OFFENDER,5,0,SEX OFFENDER FAIL TO REGISTER C6/178H (A)(IV) HABITUAL OFFENDER,6,178H (a)(iv) HABITUAL OFFENDER,Yes,5,"not in the list of non-expungable offenses in 100J. However, one cannot fail to register without being a sex offender, and sex offenses are not expungable. 100Ja(6), 100Ja(10)",100J(6),
6,"SEX OFFENDER FAIL TO REGISTER, SUBSQ.OFF. c6 §178H(a)",25,282,"SEX OFFENDER FAIL TO REGISTER, SUBSQ.OFF.",6,178H(a),Yes,6,"not in the list of non-expungable offenses in 100J. However, one cannot fail to register without being a sex offender, and sex offenses are not expungable. 100Ja(6), 100Ja(10)",100J(6),
7,"SEX OFFENDER FAIL TO REGISTER, SUBSQ.OFF. LEVEL 2 OR 3 c6 §178H(a)",0,20,"SEX OFFENDER FAIL TO REGISTER, SUBSQ.OFF. LEVEL 2 OR 3",6,178H(a),Yes,7,"not in the list of non-expungable offenses in 100J. However, one cannot fail to register without being a sex offender, and sex offenses are not expungable. 100Ja(6), 100Ja(10)",100J(6),
8,SEX OFFENDER FAIL TO REGISTER c6 §178H(a)-(c),101,1074,SEX OFFENDER FAIL TO REGISTER,6,178H(a)-(c),Yes,8,"not in the list of non-expungable offenses in 100J. However, one cannot fail to register without being a sex offender, and sex offenses are not expungable. 100Ja(6), 100Ja(10)",100J(6),
9,"SEX OFFENDER FAIL TO REGISTER, HOMELESS, 2ND OFF. c6 §178H(c)",0,50,"SEX OFFENDER FAIL TO REGISTER, HOMELESS, 2ND OFF.",6,178H(c),Yes,9,"not in the list of non-expungable offenses in 100J. However, one cannot fail to register without being a sex offender, and sex offenses are not expungable. 100Ja(6), 100Ja(10)",100J(6),
10,"SEX OFFENDER FAIL TO REGISTER, HOMELESS, 3RD OFF. c6 §178H(c)",0,49,"SEX OFFENDER FAIL TO REGISTER, HOMELESS, 3RD OFF.",6,178H(c),Yes,10,"not in the list of non-expungable offenses in 100J. However, one cannot fail to register without being a sex offender, and sex offenses are not expungable. 100Ja(6), 100Ja(10)",100J(6),
