"","Charge","NW.Counts","SF.Counts","Description","Chapter","Section","Expungeable.","alphcharge"
"1","LOTTERY TICKET, UTTER OR PASS FALSE c10 §30",4,0,"LOTTERY TICKET, UTTER OR PASS FALSE","10","30","Yes","LOTTERYTICKETUTTERORPASSFALSEc1030"
"2","PEDDLING WITHOUT A LICENSE c101 §14",0,7,"PEDDLING WITHOUT A LICENSE","101","14","Yes","PEDDLINGWITHOUTALICENSEc10114"
"3","PEDDLING VIOLATION c101 §14",0,3,"PEDDLING VIOLATION","101","14","Yes","PEDDLINGVIOLATIONc10114"
"4","BOAT, TRESPASS ON c102 §1A",0,2,"BOAT, TRESPASS ON","102","1A","Yes","BOATTRESPASSONc1021A"
"5","AIR POLLUTION ORDER VIOL c111 §142A",1,0,"AIR POLLUTION ORDER VIOL","111","142A","Yes","AIRPOLLUTIONORDERVIOLc111142A"
"6","INSPECTION CERTIFICATE, IMPROPER MV c111 §142M",0,2,"INSPECTION CERTIFICATE, IMPROPER MV","111","142M","Yes","INSPECTIONCERTIFICATEIMPROPERMVc111142M"
"7","TRASH TREATMENT FACILITY REGULATION VIOL c111 §150A",4,0,"TRASH TREATMENT FACILITY REGULATION VIOL","111","150A","Yes","TRASHTREATMENTFACILITYREGULATIONVIOLc111150A"
"8","ALCOHOL DETOX PROG, UNLICENSED/DENY INSPECTION, SUBSQ c. 111B s. 6",0,1,"ALCOHOL DETOX PROG, UNLICENSED/DENY INSPECTION, SUBSQ","111B","6","Yes","ALCOHOLDETOXPROGUNLICENSEDDENYINSPECTIONSUBSQc111Bs6"
"9","PROFESSIONAL LIC SUSPENDED,PRACTICE WITH c112 §65",0,2,"PROFESSIONAL LIC SUSPENDED,PRACTICE WITH","112","65","Yes","PROFESSIONALLICSUSPENDEDPRACTICEWITHc11265"
"10","NURSING, UNAUTH PRACTICE OF PRACTICAL c112 §80A",6,0,"NURSING, UNAUTH PRACTICE OF PRACTICAL","112","80A","Yes","NURSINGUNAUTHPRACTICEOFPRACTICALc11280A"
"11","FUNERAL DIRECTOR, UNLICENSED c112 §87",0,200,"FUNERAL DIRECTOR, UNLICENSED","112","87","Yes","FUNERALDIRECTORUNLICENSEDc11287"
"12","BODY, IMPROPER DISPOSITION OF HUMAN c114  §43M",12,0,"BODY, IMPROPER DISPOSITION OF HUMAN","114","43M","","BODYIMPROPERDISPOSITIONOFHUMANc11443M"
"13","BODY, IMPROPER DISPOSITION OF HUMAN c114 §43M",0,15,"BODY, IMPROPER DISPOSITION OF HUMAN","114","43M","Yes","BODYIMPROPERDISPOSITIONOFHUMANc11443M"
"14","MEDICAL ASSISTANCE, FALSE STATEMENT FOR c118E §39",0,16,"MEDICAL ASSISTANCE, FALSE STATEMENT FOR","118E","39","Yes","MEDICALASSISTANCEFALSESTATEMENTFORc118E39"
"15","MEDICAL ASSISTANCE, FALSE STATEMENT FOR c. 118E s. 39",0,5,"MEDICAL ASSISTANCE, FALSE STATEMENT FOR","118E","39","Yes","MEDICALASSISTANCEFALSESTATEMENTFORc118Es39"
