"","Charge","NW.Counts","SF.Counts","Description","Chapter","Section","Expungeable.","sex","murder","extra_criteria"
"1","CORI, DISSEMINATE/SEEK UNLAWFULLY c6 §178",1,5,"CORI, DISSEMINATE/SEEK UNLAWFULLY","6","178","Yes",0,0,NA
"2","SEX OFFENDER FAIL TO REGISTER c6 §178H",10,0,"SEX OFFENDER FAIL TO REGISTER","6","178H","",1,0,NA
"3","FAILURE TO REGISTER OR VERIFY REGISRATION INFO BY SEX OFFENDER c. 6 s. 178H",0,2,"FAILURE TO REGISTER OR VERIFY REGISRATION INFO BY SEX OFFENDER","6","178H","",1,0,NA
"4","SEX OFFENDER FAIL TO REGISTER C6/178H (a)(i) HABITUAL OFFENDER",3,0,"SEX OFFENDER FAIL TO REGISTER C6/178H (A)(I) HABITUAL OFFENDER","6","178H (a)(i) HABITUAL OFFENDER","",1,0,NA
"5","SEX OFFENDER FAIL TO REGISTER C6/178H (a)(iii) HABITUAL OFFENDER",4,0,"SEX OFFENDER FAIL TO REGISTER C6/178H (A)(III) HABITUAL OFFENDER","6","178H (a)(iii) HABITUAL OFFENDER","",1,0,NA
"6","SEX OFFENDER FAIL TO REGISTER C6/178H (a)(iv) HABITUAL OFFENDER",5,0,"SEX OFFENDER FAIL TO REGISTER C6/178H (A)(IV) HABITUAL OFFENDER","6","178H (a)(iv) HABITUAL OFFENDER","",1,0,NA
"7","SEX OFFENDER FAIL TO REGISTER, SUBSQ.OFF. c6 §178H(a)",25,282,"SEX OFFENDER FAIL TO REGISTER, SUBSQ.OFF.","6","178H(a)","",1,0,NA
"8","SEX OFFENDER FAIL TO REGISTER, SUBSQ.OFF. LEVEL 2 OR 3 c6 §178H(a)",0,20,"SEX OFFENDER FAIL TO REGISTER, SUBSQ.OFF. LEVEL 2 OR 3","6","178H(a)","",1,0,NA
"9","SEX OFFENDER FAIL TO REGISTER c6 §178H(a)-(c)",101,1074,"SEX OFFENDER FAIL TO REGISTER","6","178H(a)-(c)","",1,0,NA
"10","SEX OFFENDER FAIL TO REGISTER, HOMELESS, 2ND OFF. c6 §178H(c)",0,50,"SEX OFFENDER FAIL TO REGISTER, HOMELESS, 2ND OFF.","6","178H(c)","",1,0,NA
"11","SEX OFFENDER FAIL TO REGISTER, HOMELESS, 3RD OFF. c6 §178H(c)",0,49,"SEX OFFENDER FAIL TO REGISTER, HOMELESS, 3RD OFF.","6","178H(c)","",1,0,NA
"12","SEX OFFENDER REGISTRY INFO, MISUSE c6 §178N",2,0,"SEX OFFENDER REGISTRY INFO, MISUSE","6","178N","Yes",0,0,NA
"13","SEX OFFENDER FAIL TO REGISTER, LEVEL 2 or 3 c6 §178H(a)(1)",0,233,"SEX OFFENDER FAIL TO REGISTER, LEVEL 2 OR 3","6","178H(a)(1)","Yes",1,0,NA
"14","Failure to Register,Sex Offender,2nd or Sub,c6,s178H(a)(2)-SUBSEQUENT",1,0,"FAILURE TO REGISTER,SEX OFFENDER,2ND OR SUB,C6,S178H(A)(2)-SUBSEQUENT","6,","178H(a)(2)-SUBSEQUENT","",1,0,NA
"15","SEX OFFENDER INFO, AGENCY FAIL PROVIDE c6 §178K(3)",0,1,"SEX OFFENDER INFO, AGENCY FAIL PROVIDE","6","178K(3)","",1,0,NA
"16","SEX OFFENDER INFO, HOMELESS SHELTER FAIL PROVIDE c6 §178F or §178F½",1,3,"SEX OFFENDER INFO, HOMELESS SHELTER FAIL PROVIDE","6","178F or §178F½","",1,0,NA
"17","A&F INQUIRY, DISTURB, OR WITNESS FAIL TESTIFY AT c. 7 s. 11",0,1,"A&F INQUIRY, DISTURB, OR WITNESS FAIL TESTIFY AT","7","11","",0,0,NA
"18","LOTTERY TICKET, UTTER OR PASS FALSE c10 §30",4,0,"LOTTERY TICKET, UTTER OR PASS FALSE","10","30","Yes",0,0,NA
"19","CIVIL RIGHTS ORDER VIOLATION c12 §11J",0,1,"CIVIL RIGHTS ORDER VIOLATION","12","11J","Yes",0,0,NA
"20","SYNTHETIC CANNABINOID, POSSESSION OR SALE OF c16 §59.3",0,1,"SYNTHETIC CANNABINOID, POSSESSION OR SALE OF","16","59.3","Yes",0,0,NA
"21","PUBLIC ASSISTANCE FRAUD c18 §5B",3,60,"PUBLIC ASSISTANCE FRAUD","18","5B","Yes",0,0,NA
"22","PUBLIC ASSISTANCE FRAUD c. 18 s. 5B",0,5,"PUBLIC ASSISTANCE FRAUD","18","5B","Yes",0,0,NA
"23","ELDER ABUSE, FAIL REPORT c19A §15(a)",0,1,"ELDER ABUSE, FAIL REPORT","19A","15(a)","Yes",0,0,NA
"24","WATERS, POLLUTE COMMONWEALTH c21 §42",2,0,"WATERS, POLLUTE COMMONWEALTH","21","42","Yes",0,0,NA
"25","DNA DATABASE SAMPLE, REFUSE PROVIDE c22E §11",169,515,"DNA DATABASE SAMPLE, REFUSE PROVIDE","22E","11","Yes",0,0,NA
"26","DNA SAMPLE, REFUSE TO PROVIDE c. 22E s. 11",0,10,"DNA SAMPLE, REFUSE TO PROVIDE","22E","11","Yes",0,0,NA
"27","DAY CARE, UNLICENSED c28A §11(a)",0,2,"DAY CARE, UNLICENSED","28A","11(a)","",0,0,NA
"28","MUNICIPAL BY-LAW OR ORDINANCE VIOLATION c40 §21",38,951,"MUNICIPAL BY-LAW OR ORDINANCE VIOLATION","40","21","",0,0,NA
"29","IDENTIFY SELF, REFUSE c40 §21D(c)",2,18,"IDENTIFY SELF, REFUSE","40","21D(c)","",0,0,NA
"30","SEWER BY-LAW VIOLATION c40 §21(6)",0,2,"SEWER BY-LAW VIOLATION","40","21(6)","",0,0,NA
"31","EXCAVATION BY-LAW VIOLATION c40 §21(19)",0,1,"EXCAVATION BY-LAW VIOLATION","40","21(19)","",0,0,NA
"32","DEATH CERTIFICATE, FILE FALSE c46 §14",0,4,"DEATH CERTIFICATE, FILE FALSE","46","14","",0,0,NA
"33","FIRE IN OPEN, SET c48 §13",3,0,"FIRE IN OPEN, SET","48","13","Yes",0,0,NA
"34","NOMINATION PAPER/PETITION, FALSE c56 §11",0,16,"NOMINATION PAPER/PETITION, FALSE","56","11","",0,0,NA
"35","VOTE UNLAWFULLY, ATTEMPT TO c56 §26",0,1,"VOTE UNLAWFULLY, ATTEMPT TO","56","26","",0,0,NA
"36","TAX, ATTEMPT TO EVADE c62C §73(a)",1,1,"TAX, ATTEMPT TO EVADE","62C","73(a)","",0,0,NA
"37","TAX, FAIL COLLECT OR PAY OVER c62C §73(b)",0,80,"TAX, FAIL COLLECT OR PAY OVER","62C","73(b)","",0,0,NA
"38","TAX RETURN, FAIL FILE c62C §73(c)",0,13,"TAX RETURN, FAIL FILE","62C","73(c)","",0,0,NA
"39","TAX, EVADE c62C §73(c)",0,1,"TAX, EVADE","62C","73(c)","",0,0,NA
"40","SALES TAX CERTIFICATE, FALSE c62C §73(i)",0,3,"SALES TAX CERTIFICATE, FALSE","62C","73(i)","",0,0,NA
"41","TAX RETURN, FALSE VERIFIED c62C §73(f)(1)",0,11,"TAX RETURN, FALSE VERIFIED","62C","73(f)(1)","",0,0,NA
"42","TAX RETURN, AID FALSE c62C §73(f)(2)",0,2,"TAX RETURN, AID FALSE","62C","73(f)(2)","",0,0,NA
"43","TAX DOCUMENT, FALSE SIGNATURE ON c62C §73(f)(3)",0,1,"TAX DOCUMENT, FALSE SIGNATURE ON","62C","73(f)(3)","",0,0,NA
"44","DRUG DEALER FAIL PAY TAX c64K §9",0,1,"DRUG DEALER FAIL PAY TAX","64K","9","",0,0,NA
"45","CIGARETTES, SELL -12000 UNSTAMPED c64C §34",0,1,"CIGARETTES, SELL -12000 UNSTAMPED","64C","34","",0,0,NA
"46","CIGARETTES, POSSESS -12000 UNSTAMPED c64C §35",1,1,"CIGARETTES, POSSESS -12000 UNSTAMPED","64C","35","",0,0,NA
"47","CIGARETTES, SELL WITHOUT LICENSE c64C §10 & §2",0,2,"CIGARETTES, SELL WITHOUT LICENSE","64C","10 & §2","",0,0,NA
"48","MASSACHUSETTS STATE COLLEGE BUILDING AUTHORITY, FINANCIAL INTEREST VIOLATION c. 73 App. s. 1-2",0,1,"MASSACHUSETTS STATE COLLEGE BUILDING AUTHORITY, FINANCIAL INTEREST VIOLATION","73","1-2","",0,0,NA
"49","SCHOOL, FAIL SEND CHILD TO c76 §2",17,0,"SCHOOL, FAIL SEND CHILD TO","76","2","",0,0,NA
"50","BICYCLE PATH, DRIVE HORSE/ANIMAL ON c82 §36",0,1,"BICYCLE PATH, DRIVE HORSE/ANIMAL ON","82","36","",0,0,NA
"51","STATE HWAY¿CLOSED TO TRAVEL, MV WHERE * c85 §2E",0,9,"STATE HWAY¿CLOSED TO TRAVEL, MV WHERE *","85","2E","",0,0,NA
"52","SNOW/ICE, VIOL MUNIC BY-LAW ON REMOVING c85 §5",0,1,"SNOW/ICE, VIOL MUNIC BY-LAW ON REMOVING","85","5","",0,0,NA
"53","MUNICIPAL BY-LAW VIOLATION c85 §10",1,9,"MUNICIPAL BY-LAW VIOLATION","85","10","",0,0,NA
"54","MOTOR VEH BY-LAW VIOLATION * c85 §10",0,1,"MOTOR VEH BY-LAW VIOLATION *","85","10","",0,0,NA
