"","X","Charge","NW.Counts","SF.Counts","Description","Chapter","Section","Expungeable.","sex","murder"
"1",1056,"CORI, DISSEMINATE/SEEK UNLAWFULLY c6 §178",1,5,"CORI, DISSEMINATE/SEEK UNLAWFULLY","6","178","Yes",0,0
"2",1058,"SEX OFFENDER FAIL TO REGISTER c6 §178H",10,0,"SEX OFFENDER FAIL TO REGISTER","6","178H","",1,0
"3",1059,"FAILURE TO REGISTER OR VERIFY REGISRATION INFO BY SEX OFFENDER c. 6 s. 178H",0,2,"FAILURE TO REGISTER OR VERIFY REGISRATION INFO BY SEX OFFENDER","6","178H","",1,0
"4",1060,"SEX OFFENDER FAIL TO REGISTER C6/178H (a)(i) HABITUAL OFFENDER",3,0,"SEX OFFENDER FAIL TO REGISTER C6/178H (A)(I) HABITUAL OFFENDER","6","178H (a)(i) HABITUAL OFFENDER","",1,0
"5",1061,"SEX OFFENDER FAIL TO REGISTER C6/178H (a)(iii) HABITUAL OFFENDER",4,0,"SEX OFFENDER FAIL TO REGISTER C6/178H (A)(III) HABITUAL OFFENDER","6","178H (a)(iii) HABITUAL OFFENDER","",1,0
"6",1062,"SEX OFFENDER FAIL TO REGISTER C6/178H (a)(iv) HABITUAL OFFENDER",5,0,"SEX OFFENDER FAIL TO REGISTER C6/178H (A)(IV) HABITUAL OFFENDER","6","178H (a)(iv) HABITUAL OFFENDER","",1,0
"7",1063,"SEX OFFENDER FAIL TO REGISTER, SUBSQ.OFF. c6 §178H(a)",25,282,"SEX OFFENDER FAIL TO REGISTER, SUBSQ.OFF.","6","178H(a)","",1,0
"8",1064,"SEX OFFENDER FAIL TO REGISTER, SUBSQ.OFF. LEVEL 2 OR 3 c6 §178H(a)",0,20,"SEX OFFENDER FAIL TO REGISTER, SUBSQ.OFF. LEVEL 2 OR 3","6","178H(a)","",1,0
"9",1066,"SEX OFFENDER FAIL TO REGISTER c6 §178H(a)-(c)",101,1074,"SEX OFFENDER FAIL TO REGISTER","6","178H(a)-(c)","",1,0
"10",1067,"SEX OFFENDER FAIL TO REGISTER, HOMELESS, 2ND OFF. c6 §178H(c)",0,50,"SEX OFFENDER FAIL TO REGISTER, HOMELESS, 2ND OFF.","6","178H(c)","",1,0
"11",1068,"SEX OFFENDER FAIL TO REGISTER, HOMELESS, 3RD OFF. c6 §178H(c)",0,49,"SEX OFFENDER FAIL TO REGISTER, HOMELESS, 3RD OFF.","6","178H(c)","",1,0
"12",1070,"SEX OFFENDER REGISTRY INFO, MISUSE c6 §178N",2,0,"SEX OFFENDER REGISTRY INFO, MISUSE","6","178N","Yes",0,0
"13",1065,"SEX OFFENDER FAIL TO REGISTER, LEVEL 2 or 3 c6 §178H(a)(1)",0,233,"SEX OFFENDER FAIL TO REGISTER, LEVEL 2 OR 3","6","178H(a)(1)","Yes",1,0
"14",1071,"Failure to Register,Sex Offender,2nd or Sub,c6,s178H(a)(2)-SUBSEQUENT",1,0,"FAILURE TO REGISTER,SEX OFFENDER,2ND OR SUB,C6,S178H(A)(2)-SUBSEQUENT","6,","178H(a)(2)-SUBSEQUENT","",1,0
"15",1069,"SEX OFFENDER INFO, AGENCY FAIL PROVIDE c6 §178K(3)",0,1,"SEX OFFENDER INFO, AGENCY FAIL PROVIDE","6","178K(3)","",1,0
