Code,Untruncated Offense,FBI Category,MOST_SER_RANK,OFFENSE_TYPE,GRID,Penalty Type,Mandatory Gun,Police Notification,SORB,SDP,"Now Legal?
",Expungeable?,"If no, why not?"
61,A&b,Other Assaults,24,Person,2,Misdemeanor,,,,,,Yes,
1184,A&B  Ch. 265 S 13A(a),Other Assaults,24,Person,2,Misdemeanor,,,,,,Yes,
60,A&b on a corrections officer,Other Assaults,18,Person,3,Felony,,,,,,No,Ch 265 Felony
401,A&b on a public servant,Other Assaults,18,Person,3,Misdemeanor,,,,,,Yes,
1310,A&B on child to coerce criminal conspiracy  Ch. 265 S 44,Other Assaults,18,Person,3,Felony,,,,,,No,Ch 265 Felony
1311,"A&B on child to coerce criminal conspiracy, subsq. off.  Ch. 265 S 44",Other Assaults,18,Person,3,Felony,,,,,,No,Ch 265 Felony
1205,"A&B on child under 14, bodily injury  Ch. 265 S 13J",Other Assaults,12,Person,4,Felony,,,,,,No,Ch 265 Felony
1206,"A&B on child under 14, substantial bodily injury  Ch. 265 S 13J",Other Assaults,7,Person,5,Felony,,,,,,No,Ch 265 Felony
63,A&b on child with injury,Other Assaults,18,Person,3,Felony,,,,,,No,Ch 265 Felony
64,A&b on child with substantial injury,Other Assaults,7,Person,5,Felony,,,,,,No,Ch 265 Felony
1143,A&B on correction officer  Ch. 127 S 38B,Other Assaults,18,Person,3,Felony,,,,,,Yes,
65,A&b on elder (+60)/disabled person; bodily injury,Other Assaults,18,Person,3,Felony,,,,,,No,Elderly/Disabled
66,A&b on elder (+60)/disabled person; serious bodily injury,Other Assaults,12,Person,4,Felony,,,,,,No,Death or serious bodily injury 
1208,A&B on elder 60 or over/disabled person  Ch. 265 S 13K(a cent),Other Assaults,24,Person,2,Felony,,,,,,No,Ch 265 Felony
1209,"A&B on elder 60 or over/disabled person, bodily injury  Ch. 265 S 13K(b)",Other Assaults,18,Person,3,Felony,,,,,,No,Ch 265 Felony
1210,"A&B on elder 60 or over/disabled person, serious bodily injury  Ch. 265 S 13K(c)",Other Assaults,12,Person,4,Felony,,,,,,No,Ch 265 Felony
1662,A&B on family member Ch. 265 S 13M,Other Assaults,24,Person,2,Felony,,,,,,No,Ch 265 Felony
1660,"A&B on family member, subsq.  Ch. 265 S 13M",Other Assaults,18,Person,3,Felony,,,,,,No,Ch 265 Felony
1195,A&B on public employee  Ch. 265 S 13D,Other Assaults,24,Person,2,Misdemeanor,,,,,,Yes,
62,A&b on retarded person,Other Assaults,18,Person,3,Felony,,,,,,No,Disabled
1197,A&B on retarded person  Ch. 265 S 13F,Other Assaults,18,Person,3,Felony,,,,,,No,Ch 265 Felony
1198,"A&B on retarded person, subsq. off.  Ch. 265 S 13F",Other Assaults,18,Person,3,Felony,,,,,,No,Ch 265 Felony
410,A&b or property damage to intimidate for race/religion,Other Assaults,24,Person,2,Misdemeanor,,,,,,Yes,
1304,A&B or property damage to intimidate for race/religion  Ch. 265 S 39(a),Other Assaults,24,Person,2,Misdemeanor,,,,,,Yes,
1305,"A&B or property damage to intimidate for race/religion, bodily injury  Ch. 265 S 39(b)",Other Assaults,18,Person,3,Felony,,,,,,No,Ch 265 Felony
411,"A&b or property damage to intimidate for race/religion, bodily injury level",Other Assaults,18,Person,3,Felony,,,,,,No,Ch 265 Felony
1635,"A&B or property damage to intimidate for race/religion, bodily injury, armed  Ch. 265 S 39(b)",Other Assaults,12,Person,4,Felony,,,,,,No,Ch 265 Felony
1193,A&B to collect loan  Ch. 265 S 13C,Other Assaults,18,Person,3,Felony,,,,,,No,Ch 265 Felony
1194,"A&B to collect loan, subsq. off.  Ch. 265 S 13C",Other Assaults,18,Person,3,Felony,,,,,,No,Ch 265 Felony
36,A&b with dangerous weapon (Moderate injury),Other Assaults,18,Person,3,Felony,,,,,,No,Armed w dangerous weapon
35,A&b with dangerous weapon (No/minor injury),Other Assaults,24,Person,2,Felony,,,,,,No,Armed w dangerous weapon
37,A&b with dangerous weapon (Significant injury),Other Assaults,12,Person,4,Felony,,,,,,No,Armed w dangerous weapon
33,A&b with dangerous weapon +60 (Moderate injury),Other Assaults,18,Person,3,Felony,,,,,,No,Armed w dangerous weapon
32,A&b with dangerous weapon +60 (No/minor injury),Other Assaults,24,Person,2,Felony,,,,,,No,Armed w dangerous weapon
34,A&b with dangerous weapon +60 (Significant injury),Other Assaults,12,Person,4,Felony,,,,,,No,Armed w dangerous weapon
1658,A&B with firearm Ch. 265 S 15E,Other Assaults,7,Person,4,Felony,,,,,,No,Ch 265 Felony
1659,"A&B with firearm, attempted Ch. 265 S 15F",Other Assaults,12,Person,4,Felony,,,,,,No,Ch 265 Felony
1188,"A&B, aggravated, pregnant victim  Ch. 265 S 13A(b)(ii)",Aggravated Assault ,18,Person,3,Felony,,,,,,No,Ch 265 Felony
1189,"A&B, aggravated, restraining order  Ch. 265 S 13A(b)(iii)",Aggravated Assault ,18,Person,3,Felony,,,,,,No,Ch 265 Felony
1187,"A&B, aggravated, serious bodily injury  Ch. 265 S 13A(b)(i)",Aggravated Assault ,18,Person,3,Felony,,,,,,No,Ch 265 Felony
1204,A&B/Assault on ambulance personnel  Ch. 265 S 13I,Other Assaults,24,Person,2,Misdemeanor,,,,,,Yes,
297,Abandonment,All Other Offense (except traffic),29,Public Order,2,Misdemeanor,,,,,,Yes,
296,Abandonment-child under ten,All Other Offense (except traffic),29,Public Order,2,Misdemeanor,,,,,,Yes,
188,Abducting females to be prostitutes,Prostitution and Commercialized Vice,29,Public Order,2,Felony,,,,,,No,178C Sex Offense
1217,"ABDW on elder 60 or over, moderate injury  Ch. 265 S 15A(a)",Other Assaults,18,Person,3,Felony,,,,,,No,Ch 265 Felony
1218,"ABDW on elder 60 or over, moderate injury, subsq. off.  Ch. 265 S 15A(a)",Other Assaults,18,Person,3,Felony,,,,,,No ,Ch 265 Felony
1215,"ABDW on elder 60 or over, no/minor injury  Ch. 265 S 15A(a)",Other Assaults,24,Person,2,Felony,,,,,,No ,Ch 265 Felony
1216,"ABDW on elder 60 or over, no/minor injury, subsq. off.  Ch. 265 S 15A(a)",Other Assaults,18,Person,3,Felony,,,,,,No,Ch 265 Felony
1219,"ABDW on elder 60 or over, significant injury  Ch. 265 S 15A(a)",Other Assaults,12,Person,4,Felony,,,,,,No,Ch 265 Felony
