Charges,NW Counts,SF Counts
2ND DEGREE MURDER,0,29
A&B (DOMESTIC) c265 §13A,599,0
A&B ATTEMPT TO DISARM POLICE OFFICER,4,0
A&B ATTEMPT TO DISARM POLICE OFFICER c265 §13D,0,3
A&B BY DISCHARGING A FIREARM c265 §15E,11,0
A&B BY DISCHARGING FIREARM c265 §15E(a),0,129
A&B IN VIOLATION OF RESTRAINING ORDER c265 §13A(b),0,35
A&B ON +60/DISABLED,144,0
A&B ON +60/DISABLED  c265 §13K(a1/2),19,0
A&B ON +60/DISABLED WITH INJURY c265 §13K(b),71,378
A&B ON +60/DISABLED WITH SERIOUS INJURY c265 §13K(c),4,75
A&B ON +60/DISABLED c265 §13K/F,0,458
A&B ON A PERSON WITH AN INTELLECTUAL DISABILITY c265 §13F,5,0
A&B ON AMBULANCE PERSONNEL c265 §13I,30,159
A&B ON CHILD WITH INJURY c265 §13J(b),18,129
A&B ON CHILD WITH SUBSTANTIAL INJURY c265 §13J(b),13,17
A&B ON CORRECTIONAL OFFICER c127 §38B,25,117
A&B ON ELDER (60+)/DISABLED PERSON; BODILY INJURY c. 265 s. 13K(b),0,1
A&B ON FAMILY/HOUSEHOLD MEMBER c265 §13M,0,8430
A&B ON PERSON WITH INTELLECTUAL DISABILITY,3,0
A&B ON POLICE OFFICER c265 §13D,501,3444
"A&B ON POLICE OFFICER, SERIOUS BODILY INJURY c265 §13D",0,1
A&B ON PUBLIC EMPLOYEE c. 265 s. 13D,0,1
A&B ON PUBLIC EMPLOYEE c265 §13D,28,787
"A&B ON PUBLIC EMPLOYEE, SERIOUS BODILY INJURY c265 §13D",1,0
A&B ON RETARDED PERSON c265 §13F,0,33
A&B PREGNANT VICTIM,65,0
A&B TO COLLECT LOAN c265 §13C,9,30
"A&B TO COLLECT LOAN, SUBSQ.OFF. c265 §13C",0,1
A&B TO INTIMIDATE c265 §39(a),5,42
"A&B TO INTIMIDATE, WITH BODILY INJURY c265 §39(b)",0,15
"A&B TO INTIMIDATE, WITH BODILY INJURY, ARMED c265 §39(b)",0,2
A&B UPON PREGNANT PERSON c265 §13A(b),0,441
A&B WITH BODILY SUBSTANCE ON CORRECTIONAL OFFICER c127 §38B(c),4,0
A&B WITH DANGEROUS WEAPON  c265 §15A(b),980,0
A&B WITH DANGEROUS WEAPON +60 c265 §15A(a),40,315
"A&B WITH DANGEROUS WEAPON +60, SUBSQ.OFF c. 265 s. 15A(a)",0,1
"A&B WITH DANGEROUS WEAPON +60, SUBSQ.OFF c265 §15A(a)",0,2
A&B WITH DANGEROUS WEAPON +65 c265 §15A(a),1,0
A&B WITH DANGEROUS WEAPON CAUSING SERIOUS BODILY INJURY c265 §15A(c),0,296
A&B WITH DANGEROUS WEAPON IN VIOLATION OF RESTRAINING ORDER c265 §15A(c),0,5
A&B WITH DANGEROUS WEAPON UPON PREGNANT PERSON c265 §15A(c),0,57
A&B WITH DANGEROUS WEAPON c. 265 s. 15A(b),0,2
A&B WITH DANGEROUS WEAPON c265 §15A(b),0,9294
"A&B WITH DANGEROUS WEAPON, AGGRAVATED",10,0
"A&B WITH DANGEROUS WEAPON, CHILD UNDER 14 c265 §15A(c)(iv)",0,33
"A&B WITH DANGEROUS WEAPON, CHILD UNDER 14 c265 §15A(iv)",2,0
"A&B WITH DANGEROUS WEAPON, PREGNANT VICTIM",3,0
"A&B WITH DANGEROUS WEAPON, SERIOUS BODILY INJURY",9,0
"A&B WITH DANGEROUS WEAPON, VIOL OF ORDER c265 §15A(c)(iii)",1,0
A&B c. 265 s. 13A,0,24
A&B c265 §13A,2015,14443
"A&B, AGGRAVATED",76,0
"A&B, AGGRAVATED c265 §13A(b)",0,560
"A&B, SERIOUS BODILY INJURY",31,0
"A&B, VIOL ABUSE PREVENTION ORDER c265 S 13A(B)",30,0
"A&B,CAUSING SERIOUS BODILY INJURY c265 §13A(b)",0,98
A&B/ASSAULT ON AMBULANCE PERSONNEL c. 265 s. 13I,0,1
"A&F INQUIRY, DISTURB, OR WITNESS FAIL TESTIFY AT c. 7 s. 11",0,1
ABANDON MV c90 §22B(a),8,22
"ABANDONED/STOLEN/CRUSHED MV, UNREGISTERED OR IMPROPER REMOVAL c. 90 s. 24H",0,1
"ABUSE PREVENTION ORDER VIOL, RETALIATORY c209A §7",0,13
"ABUSE PREVENTION ORDER, VIOL PROBATE CT c208 §34C",0,4
"ABUSE PREVENTION ORDER, VIOLATE c. 209A s. 3B",0,32
"ABUSE PREVENTION ORDER, VIOLATE c. 209A s. 7",0,17
"ABUSE PREVENTION ORDER, VIOLATE c209A §7",1267,3770
"ABUSE PREVENTION ORDER, VIOLATE, RETALIATION FOR NON-SUPPORT c. 209A s. 7",0,12
ACCESSORY AFTER THE FACT c. 274 s. 4,0,2
ACCESSORY AFTER THE FACT c274 §4,26,83
ACCESSORY BEFORE THE FACT c274 §2,5,10
"ACCIDENT REPORT, FAIL FILE * c90 §26",3,28
ACCOST/ANNOY PERSON OF OPPOSITE SEX c272 §53,37,113
"ADMISSION TICKET, FORGE c267 §2",0,6
"ADMISSION TICKET, UTTER FALSE c267 §6",0,6
AFFRAY (Common Law),8,327
AFFRAY c. 275 s. 14,0,99
"AFTERMARKET LIGHTING, NONCOMPLIANT * 540 CMR §22.07",8,18
"AGGRAVATED RAPE &  ABUSE OF A CHILD, 10 YEAR AGE DIFFERENCE c265s23A(b)",21,0
"AGGRAVATED RAPE &  ABUSE OF A CHILD, 5 YEAR AGE DIFFERENCE c265s23A(a)",74,0
AIR POLLUTION ORDER VIOL c111 §142A,1,0
"AIRCRAFT OPERATION, INTERFERE WITH c90 §40",0,27
AIRPORT SECURITY VIOLATION c269 §12F,0,17
"ALCOHOL DETOX PROG, UNLICENSED/DENY INSPECTION, SUBSQ c. 111B s. 6",0,1
"ALCOHOL FROM OPEN CONTAINER IN MV, DRINK c90 §24I",0,527
AMMUNITION UNATTENDED c269 §10(h)(2),0,2
"AMMUNITION, POSSESS WO FID CARD c269 §10/TT",0,1816
"AMMUNITION, POSSESS WO FID CARD, SUBSQ.OFF. c269 §10/TT",0,82
"AMMUNITION, POSSESS c269 §10(h)",0,1315
"AMMUNITION, POSSESSION OF c. 269 s. 10H",0,4
"AMMUNITION, UNLICENSED SALE OF c140 §122B",0,19
"ANIMAL FIGHT, KEEP/PROMOTE c272 §94",0,1
ANIMAL QUARANTINE VIOLATION c131 §25C,0,1
"ANIMAL, CRUELTY TO BY CUSTODIAN c272 §77",2,6
"ANIMAL, CRUELTY TO c272 §77",68,101
"ANIMAL, IMPORT/EXPORT IMPROP c131 §85",2,0
"ANIMAL, KILL/MAIM/POISON c266 §112",2,12
ARMED CAREER CRIMINAL c269 §10,0,1
"ARSENIC TEST, FAIL FURNISH SAMPLE FOR c270 §11",0,1
ARSON OF DWELLING HOUSE c266 §1,28,59
"ARSON OF DWELLING HOUSE, ATTEMPTED c266 §5A",9,18
"ASSAULT AND BATTER ON ELDER/DISABLED CARETAKER c265,13K(d 1/2)",2,0
ASSAULT AND BATTERY DURING PREGNANCY,3,0
"ASSAULT AND BATTERY, ATTEMPT WITH FIREARM",2,0
"ASSAULT IN DWELLING, ARMED c265 §18A",15,81
"ASSAULT IN DWELLING, ARMED, FIREARM c. 265 s. 18A",0,2
"ASSAULT IN DWELLING, FIREARM-ARMED c265 §18A",1,20
ASSAULT ON AMBULANCE PERSONNEL c265 §13I,1,93
ASSAULT ON FAMILY/HOUSEHOLD MEMBER c265 §13M(b),0,57
"ASSAULT ON FAMILY/HOUSEHOLD MEMBER, SUBSQ.OFF c265 §13M(b)",0,28
ASSAULT TO COMMIT FELONY c265 §29,2,7
ASSAULT TO INTIMIDATE c265 §39(a),12,36
ASSAULT TO MAIM c265 §14,3,11
ASSAULT TO MAIM c265 §15,0,16
"ASSAULT TO MURDER +60, ARMED c265 §18(a)",1,9
"ASSAULT TO MURDER +60, ARMED, SUBSQ.OFF. c265 §18(a)",0,3
"ASSAULT TO MURDER +60, FIREARM-ARMED, SUBSQ.OFF. c265 §18(a)",0,1
ASSAULT TO MURDER OR MAIM c. 265 s. 15,0,1
ASSAULT TO MURDER c265 §15,18,201
"ASSAULT TO MURDER, ARMED c265 §18(b)",11,595
"ASSAULT TO MURDER, FIREARM-ARMED c265 §18(b)",2,53
ASSAULT TO RAPE CHILD c265 §24B,6,30
ASSAULT TO RAPE c265 §24,10,113
"ASSAULT TO RAPE, FIREARM-ARMED c265 §24",0,1
"ASSAULT TO ROB +60, ARMED",0,16
"ASSAULT TO ROB +65, ARMED c265 §18(a)",4,0
"ASSAULT TO ROB, ARMED c. 265 s. 18(b)",0,1
"ASSAULT TO ROB, ARMED c265 §18(b)",17,266
"ASSAULT TO ROB, FIREARM-ARMED c265 §18(b)",4,23
"ASSAULT TO ROB, UNARMED c265 §20",4,168
ASSAULT W/DANGEROUS WEAPON +60 c. 265 s. 15B(a),0,1
ASSAULT W/DANGEROUS WEAPON +60 c265 §15B(a),33,100
"ASSAULT W/DANGEROUS WEAPON +60, SUBSQ. c265 §15B(a)",0,1
ASSAULT W/DANGEROUS WEAPON c. 265 s. 15B(b),0,3
ASSAULT W/DANGEROUS WEAPON c265 §15B(b),716,5847
"ASSAULT W/HYPODERMIC NEEDLE, SYRINGE c265§15C(a)",1,0
"ASSAULT WEAPON, SELL/POSSESS c140 §131M",8,33
"ASSAULT WEAPON, SELL/POSSESS, SUBSQ. c. 140 s. 131M",0,1
ASSAULT WITH HYPODERMIC c265 §15C/A,0,17
ASSAULT c. 265 s. 13A,0,9
ASSAULT c265 §13A,277,966
"ASSAULT, VIOL ABUSE PREVENTION ORDER c265 §13A(b)",0,3
ASSOCIATION OFFICER EMBEZZLE +$250 c266 §58 & §30(1),0,6
ATTEMPT TO COMMIT CRIME PUNISHABLE BY DEATH c. 274 s. 6,0,2
ATTEMPT TO COMMIT CRIME c. 274 s. 6 - 5 year felony or greater,0,3
ATTEMPT TO COMMIT CRIME c. 274 s. 6 - Larceny,0,5
ATTEMPT TO COMMIT CRIME c274 §6,218,1503
"ATTEMPT TO COMMIT CRIME, HABITUAL c274 §6",2,0
ATTEMPTED A&B BY DISCHARGING A FIREARM c265 §15F(a),0,112
ATTEMPTED EXTORTION,0,9
ATTEMPTED LARCENY BY CHECK c266 §37,0,19
ATTEMPTED LARCENY FROM +60/DISABLED c266 §30(5) & c274 §6,1,0
"Agg ABDW, c265,s15A(c)(i)",15,0
"Agg Assault & Battery Causing Serious Bodily Injury c265,s13A(b)(i)",6,0
"Aggravated ABDW, c265,s15A(c)(iv)",4,0
"Aggravated Rape of Child, c265,s23A",1,0
Assault & Battery on  Family/Household Member  c265  §13M(a),2099,0
"Assault & Battery on Family/Household Member Subsequent,  c265  §13M(b)",41,0
Assault and Battery (HABITUAL) 265/13A(a),1,0
"Assault in Violation of Restraining Order,  c265,s13A(b)(iii)",1,0
Assault on Family/Household Member  c265  §13M(a),145,0
"Assault on Family/Household Member, Subsequent,  c265  §13M(b)",6,0
"Attaching Plates, c90,s23",2,0
B&E DAYTIME FOR FELONY c266 §18,269,1100
B&E DAYTIME FOR FELONY c266 §18 - HABITUAL,4,0
"B&E DAYTIME FOR FELONY, ARMED c266 §18",3,8
"B&E DAYTIME FOR FELONY, ARMED, PERSON IN FEAR c266 §17",1,7
"B&E DAYTIME FOR FELONY, PERSON IN FEAR c266 §17",18,138
B&E FOR MISDEMEANOR c. 266 s. 16A,0,2
B&E FOR MISDEMEANOR c266 §16A,380,536
B&E NIGHTTIME FOR FELONY VEHICLE c266 §16,0,5
B&E NIGHTTIME FOR FELONY c266 §16,395,1396
"B&E NIGHTTIME FOR FELONY/B&E, OR ATTEMPT, DEPOSITORY c. 266 s. 16",0,2
B&E VEHICLE/BOAT DAYTIME FOR FELONY,74,303
B&E VEHICLE/BOAT NIGHTTIME FOR FELONY,272,569
"BADGE, USE WITHOUT AUTHORITY c268 §35",0,2
"BANK BILL PAPER, LARCENY OF c266 §42",0,1
"BANK HOLDING COMPANY RECORD, FALSE c167A §6",0,1
"BANK OFFICER/EMPLOYEE, MISCONDUCT BY c266 §53A",1,0
"BANK, EMBEZZLEMENT FROM c266 §52",0,2
"BB GUN/AIR RIFLE, DISCHARGE ON WAY c269 §12B",8,6
"BB GUN/AIR RIFLE, MINOR DISCHARGE c269 §12B",1,0
"BB GUN/AIR RIFLE, MINOR POSSESS c269 §12B",2,3
BESTIALITY c272 §34,0,2
"BETTING, TAKE/ALLOW/PRESENT AT c271 §17",0,9
"BETTING, TAKE/ALLOW/PRESENT AT,SUBSQ.OFF c271 §17",0,1
"BICYCLE PATH, DRIVE HORSE/ANIMAL ON c82 §36",0,1
BICYCLE VIOLATION c85 §11B,1,15
BICYCLE VIOLATOR REFUSE IDENTIFY SELF c85 §11C,0,2
"BICYCLE, LARCENY OF, SUBSQ.OFF. c266 §41",0,3
"BLIND PEDESTRIAN, FAIL STOP FOR * c90 §14A",0,1
"BOAT LIFE SAVING DEVICE, NO c90B §5A",6,2
BOAT OUILIQUOR c90B §8(a),2,0
BOAT OUI¿DRUGS c90B §8(a),0,2
BOAT OUI¿LIQUOR c90B §8(a),0,12
"BOAT, LARCENY FROM c266 §20",0,3
"BOAT, NEGLIGENT OR RECKLESS OPERATION OF c. 90B s. 8(e)(1)",0,1
"BOAT, REFUSE STOP/ID FOR OFFICER c90B §38",0,2
"BOAT, TRESPASS ON c102 §1A",0,2
"BOAT, UNSAFE OPERATION OF c90B §8(e)(1)",2,5
"BOAT/NON-MOTOR VEH, USE WITHOUT AUTHORITY c266 §63",0,5
"BODY ARMOR, USE IN FELONY c269 §10D",3,8
"BODY, IMPROPER DISPOSITION OF HUMAN c114  §43M",12,0
"BODY, IMPROPER DISPOSITION OF HUMAN c114 §43M",0,15
"BOMB THREAT, FALSE c269 §14(a)",8,41
BOMB/HIJACK THREAT,15,0
